//////////// EXTRASUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha
//Midnight
 93 93 93 233 227 177 255 255 255 0 0 0 2 0 13 255 128 0 5 0 0 1 1 0.3 200 100 0 400 80 1 54 99 148 94 94 100 26 63 87 240 140 4 6 30 140 14 19 39 0 90 0
//5AM
 18 17 16 210 184 122 56 40 10 2 4 6 30 21 4 0 0 0 0 0 0 5.00 0.50 0.50 150 100 0 900.00 100.00 1.00 70 27 10 50 43 36 17 39 66 220 180 124 106 116 255 52 27 0 70 130 0
//6AM
 22 16 5 210 174 152 69 31 5 18 101 192 198 155 26 254 128 1 252 89 35 4.50 1.00 0.10 140 100 0 1000.00 100.00 0.80 100 34 25 120 92 88 18 72 139 220 180 66 86 86 255 149 114 40 100 160 0
//7AM
 24 18 11 255 224 202 65 35 1 26 69 172 57 107 240 251 137 11 255 120 55 7.20 1.00 0.00 100 50 75 1350.00 5.00 0.50 120 40 40 225 225 255 32 44 123 240 255 106 107 84 255 146 101 15 185 205 0
//Midday
 62 37 13 255 255 255 255 255 255 13 56 204 14 88 226 251 183 57 255 111 23 7.10 1.00 0.00 236 0 190 1500.00 0.00 0.50 90 90 140 225 225 255 0 102 193 180 190 64 107 84 255 176 119 30 140 170 0
//7PM					
22 22 22	255 255 255	255 255 255	36 54 165		114 130 250	222 88 0	122 55 0	3.90 0.30 0.40 110 40 75	1800.00 10.00 0.80 120 40 40	225 225 255	140 200 255 190 190 64 124 107 255	176 120 10	185 205 0
//8PM
 72 34 0 223 183 113 255 255 255 227 121 4 248 149 16 224 90 1 255 136 17 2.00 0.50 0.60 100 60 0 1150.00 5.00 0.80 205 143 29 85 85 85 147 95 23 190 190 55 85 120 255 66 27 0 140 200 0
//10PM						
22 15 6	225 204 202	255 255 255	184 28 1  	224 82 1 255 128 0	5 8 0	1.00 0.50 0.70 160 100 0	1400.00 10.00 0.80 70 27 10	0 0 0	71 46 53 170 140 77 143	84	255	 76 51 0	0 30 0
//				        
//////////// SUNNY_LA
//Amb			Amb_Obj	Dir			Sky top			Sky bot		SunCore		SunCorona	SunSz	SprSz	SprBght	Shdw	LightShd	PoleShd	FarClp	FogSt	LightOnGround	LowCloudsRGB	BottomCloudRGB	WaterRGBA			Alpha1	RGB1			Alpha2	RGB2		CloudAlpha
//Midnight
 0 20 20 210 194 182 255 255 255 0 0 0 2 3 13 255 128 0 5 0 0 1.00 0.40 0.40 200 100 0 800.00 100.00 1.00 0 0 0 3 3 3 20 26 131 240 255 1 2 5 255 3 3 31 55 220 0
//5AM
 18 17 16 210 184 122 56 40 10 2 4 6 30 21 4 0 0 0 0 0 0 5.00 0.50 0.50 150 100 0 1000.00 100.00 1.00 70 27 10 50 43 36 17 39 66 220 180 124 106 116 255 52 27 0 70 130 0
//6AM
 22 16 5 210 174 152 69 31 5 18 101 192 217 155 28 252 177 3 252 69 7 4.50 1.00 0.10 140 100 0 1100.00 100.00 0.80 100 34 25 120 92 88 18 72 139 220 180 66 86 86 255 149 114 40 100 160 0
//7AM
